id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am 
2834,south,north,south,2000-05-12,26,79,84,86,72
2835,east,west,east,2000-05-13,32,72,88,92,85
2836,west,east,west,2000-05-14,44,62,73,107,92
2837,north,south,north,2000-05-15,40,75,73,109,83
2838,south,north,south,2000-05-16,26,63,80,82,88
2839,east,west,east,2000-05-17,29,64,99,95,88
2840,west,east,west,2000-05-18,44,60,80,96,64
2841,north,south,north,2000-05-19,24,48,93,96,76
2842,south,north,south,2000-05-20,31,64,84,105,76
2843,east,west,east,2000-05-21,26,55,88,99,90
2844,west,east,west,2000-05-22,53,60,104,108,72
2845,north,south,north,2000-05-23,40,56,103,90,72
2846,south,north,south,2000-05-24,55,64,84,101,79
2847,east,west,east,2000-05-25,43,70,89,92,74
2848,west,east,west,2000-05-26,28,60,88,81,75
2849,north,south,north,2000-05-27,24,51,88,112,64
2850,south,north,south,2000-05-28,38,69,102,92,82
2851,east,west,east,2000-05-29,28,72,91,104,84
2852,west,east,west,2000-05-30,27,52,88,82,71
2853,north,south,north,2000-05-31,48,69,94,96,72
2854,south,north,south,2000-06-01,49,61,72,83,69
2855,east,west,east,2000-06-02,39,58,94,90,72
2856,west,east,west,2000-06-03,31,55,74,90,52
2857,north,south,north,2000-06-04,29,64,80,90,58
2858,south,north,south,2000-06-05,26,59,90,86,64
2859,east,west,east,2000-06-06,46,51,67,84,68
2860,west,east,west,2000-06-07,39,72,68,79,84
2861,north,south,north,2000-06-08,30,66,74,94,70
2862,south,north,south,2000-06-09,35,73,89,98,54
2863,east,west,east,2000-06-10,22,58,93,85,63
2864,west,east,west,2000-06-11,33,66,73,90,78
2865,north,south,north,2000-06-12,40,62,90,70,62
2866,south,north,south,2000-06-13,39,61,69,81,64
2867,east,west,east,2000-06-14,46,46,86,72,81
2868,west,east,west,2000-06-15,30,51,86,72,74
2869,north,south,north,2000-06-16,34,66,78,91,59
2870,south,north,south,2000-06-17,28,61,80,84,66
2871,east,west,east,2000-06-18,27,48,82,98,52
2872,west,east,west,2000-06-19,50,64,80,83,74
2873,north,south,north,2000-06-20,32,47,69,85,82
2874,south,north,south,2000-06-21,47,64,77,75,60
2875,east,west,east,2000-06-22,35,63,75,91,86
2876,west,east,west,2000-06-23,30,60,80,90,74
2877,north,south,north,2000-06-24,41,67,85,81,54
2878,south,north,south,2000-06-25,43,53,64,79,84
2879,east,west,east,2000-06-26,34,53,65,91,66
2880,west,east,west,2000-06-27,22,62,69,80,83
2881,north,south,north,2000-06-28,50,65,84,73,69
2882,south,north,south,2000-06-29,31,65,73,70,57
2883,east,west,east,2000-06-30,39,62,93,88,69
2884,west,east,west,2000-07-01,28,55,62,61,50
2885,north,south,north,2000-07-02,27,51,63,69,46
2886,south,north,south,2000-07-03,35,49,53,57,50
2887,east,west,east,2000-07-04,39,44,59,57,41
2888,west,east,west,2000-07-05,38,41,51,61,39
2889,north,south,north,2000-07-06,27,44,57,54,48
2890,south,north,south,2000-07-07,35,41,55,71,57
2891,east,west,east,2000-07-08,35,36,56,58,49
2892,west,east,west,2000-07-09,25,51,57,71,69
2893,north,south,north,2000-07-10,34,58,54,76,68
2894,south,north,south,2000-07-11,35,56,68,55,48
2895,east,west,east,2000-07-12,22,38,59,53,50
2896,west,east,west,2000-07-13,30,41,70,62,56
2897,north,south,north,2000-07-14,28,50,67,62,67
2898,south,north,south,2000-07-15,42,33,65,70,51
2899,east,west,east,2000-07-16,33,49,63,64,61
2900,west,east,west,2000-07-17,30,38,54,67,45
2901,north,south,north,2000-07-18,33,59,56,67,64
2902,south,north,south,2000-07-19,21,49,55,65,45
2903,east,west,east,2000-07-20,40,41,67,63,51
2904,west,east,west,2000-07-21,27,57,59,55,50
2905,north,south,north,2000-07-22,27,50,71,63,53
2906,south,north,south,2000-07-23,28,50,56,73,53
2907,east,west,east,2000-07-24,38,59,73,54,50
2908,west,east,west,2000-07-25,41,53,69,61,42
2909,north,south,north,2000-07-26,33,49,74,62,54
2910,south,north,south,2000-07-27,32,33,62,69,64
2911,east,west,east,2000-07-28,43,55,66,78,67
2912,west,east,west,2000-07-29,33,37,71,66,53
2913,north,south,north,2000-07-30,35,49,63,62,51
2914,south,north,south,2000-07-31,23,53,53,72,55
2915,east,west,east,2000-08-01,46,47,60,64,56
2916,west,east,west,2000-08-02,39,57,67,83,53
2917,north,south,north,2000-08-03,37,46,63,71,50
2918,south,north,south,2000-08-04,29,61,74,70,75
2919,east,west,east,2000-08-05,36,58,72,79,56
2920,west,east,west,2000-08-06,28,64,71,80,48
2921,north,south,north,2000-08-07,43,55,74,77,64
2922,south,north,south,2000-08-08,33,60,66,74,64
2923,east,west,east,2000-08-09,39,40,60,71,66
2924,west,east,west,2000-08-10,37,49,63,88,66
2925,north,south,north,2000-08-11,36,53,56,63,66
2926,south,north,south,2000-08-12,24,60,56,79,71
2927,east,west,east,2000-08-13,43,47,64,74,67
2928,west,east,west,2000-08-14,27,60,76,82,55
2929,north,south,north,2000-08-15,26,55,79,79,61
2930,south,north,south,2000-08-16,32,63,74,87,75
2931,east,west,east,2000-08-17,31,58,56,65,50
2932,west,east,west,2000-08-18,42,38,73,63,59
2933,north,south,north,2000-08-19,32,59,76,81,60
2934,south,north,south,2000-08-20,43,41,84,88,54
2935,east,west,east,2000-08-21,25,49,70,72,55
2936,west,east,west,2000-08-22,40,48,62,79,65
2937,north,south,north,2000-08-23,41,44,74,80,52
2938,south,north,south,2000-08-24,26,65,73,80,64
2939,east,west,east,2000-08-25,23,40,74,72,44
2940,west,east,west,2000-08-26,37,44,74,68,46
2941,north,south,north,2000-08-27,29,55,56,66,71
2942,south,north,south,2000-08-28,36,46,78,68,72
2943,east,west,east,2000-08-29,20,54,67,70,57
2944,west,east,west,2000-08-30,22,60,71,86,60
2945,north,south,north,2000-08-31,47,57,74,66,50
2946,south,north,south,2000-09-01,45,76,74,96,92
2947,east,west,east,2000-09-02,32,76,102,82,76
2948,west,east,west,2000-09-03,36,68,99,96,76
2949,north,south,north,2000-09-04,41,56,76,83,81
2950,south,north,south,2000-09-05,27,48,95,96,63
2951,east,west,east,2000-09-06,44,68,89,96,64
2952,west,east,west,2000-09-07,48,48,85,102,70
2953,north,south,north,2000-09-08,35,77,83,101,57
2954,south,north,south,2000-09-09,40,74,80,88,72
2955,east,west,east,2000-09-10,43,77,89,92,84
2956,west,east,west,2000-09-11,30,52,83,108,71
2957,north,south,north,2000-09-12,44,50,100,96,92
2958,south,north,south,2000-09-13,24,53,84,100,90
2959,east,west,east,2000-09-14,36,58,82,92,78
2960,west,east,west,2000-09-15,46,57,100,98,73
2961,north,south,north,2000-09-16,43,59,94,92,64
2962,south,north,south,2000-09-17,46,78,85,95,72
2963,east,west,east,2000-09-18,32,61,78,96,81
2964,west,east,west,2000-09-19,34,59,80,92,72
2965,north,south,north,2000-09-20,54,62,84,108,86
2966,south,north,south,2000-09-21,52,64,94,104,64
2967,east,west,east,2000-09-22,36,59,99,102,84
2968,west,east,west,2000-09-23,32,48,96,103,76
2969,north,south,north,2000-09-24,47,63,85,96,80
2970,south,north,south,2000-09-25,27,76,73,91,68
2971,east,west,east,2000-09-26,56,62,84,92,68
2972,west,east,west,2000-09-27,40,56,73,80,60
2973,north,south,north,2000-09-28,46,56,99,105,67
2974,south,north,south,2000-09-29,32,57,79,80,80
2975,east,west,east,2000-09-30,47,76,102,110,70
2976,west,east,west,2000-10-01,43,83,112,123,72
2977,north,south,north,2000-10-02,61,78,123,110,81
2978,south,north,south,2000-10-03,53,81,110,125,84
2979,east,west,east,2000-10-04,47,73,111,102,109
2980,west,east,west,2000-10-05,62,60,89,131,104
2981,north,south,north,2000-10-06,44,70,89,99,84
2982,south,north,south,2000-10-07,56,92,94,114,85
2983,east,west,east,2000-10-08,53,80,113,98,79
2984,west,east,west,2000-10-09,47,86,107,119,91
2985,north,south,north,2000-10-10,52,94,110,118,83
2986,south,north,south,2000-10-11,52,69,96,116,97
2987,east,west,east,2000-10-12,45,74,105,104,68
2988,west,east,west,2000-10-13,50,75,102,117,92
2989,north,south,north,2000-10-14,63,72,88,106,97
2990,south,north,south,2000-10-15,51,94,115,102,112
2991,east,west,east,2000-10-16,39,75,97,108,80
2992,west,east,west,2000-10-17,47,81,121,123,111
2993,north,south,north,2000-10-18,33,64,99,120,108
2994,south,north,south,2000-10-19,63,75,101,116,80
2995,east,west,east,2000-10-20,37,80,98,114,85
2996,west,east,west,2000-10-21,56,59,99,122,99
2997,north,south,north,2000-10-22,58,81,90,110,88
2998,south,north,south,2000-10-23,42,58,103,114,95
2999,east,west,east,2000-10-24,40,71,114,120,83
3000,west,east,west,2000-10-25,43,77,117,129,90
3001,north,south,north,2000-10-26,55,58,116,115,69
3002,south,north,south,2000-10-27,56,69,91,118,76
3003,east,west,east,2000-10-28,42,90,111,118,89
3004,west,east,west,2000-10-29,37,80,111,114,104
3005,north,south,north,2000-10-30,43,83,116,108,96
3006,south,north,south,2000-10-31,33,66,117,116,99
3007,east,west,east,2000-11-01,51,68,80,106,79
3008,west,east,west,2000-11-02,40,78,91,97,78
3009,north,south,north,2000-11-03,50,61,98,104,86
3010,south,north,south,2000-11-04,36,54,94,97,82
3011,east,west,east,2000-11-05,60,87,104,101,101
3012,west,east,west,2000-11-06,51,62,81,107,85
3013,north,south,north,2000-11-07,36,75,82,102,83
3014,south,north,south,2000-11-08,59,71,106,90,80
3015,east,west,east,2000-11-09,41,71,105,106,94
3016,west,east,west,2000-11-10,49,62,107,99,76
3017,north,south,north,2000-11-11,56,73,108,115,88
3018,south,north,south,2000-11-12,47,69,91,109,96
3019,east,west,east,2000-11-13,48,87,98,109,75
3020,west,east,west,2000-11-14,44,77,112,89,71
3021,north,south,north,2000-11-15,54,77,105,96,66
3022,south,north,south,2000-11-16,26,79,96,101,80
3023,east,west,east,2000-11-17,31,64,97,106,99
3024,west,east,west,2000-11-18,37,55,92,91,87
3025,north,south,north,2000-11-19,36,69,81,105,66
3026,south,north,south,2000-11-20,51,62,101,113,87
3027,east,west,east,2000-11-21,46,86,80,119,70
3028,west,east,west,2000-11-22,44,84,83,106,88
3029,north,south,north,2000-11-23,42,53,98,95,89
3030,south,north,south,2000-11-24,33,78,95,117,105
3031,east,west,east,2000-11-25,32,73,83,90,99
3032,west,east,west,2000-11-26,43,81,97,89,95
3033,north,south,north,2000-11-27,38,70,96,96,94
3034,south,north,south,2000-11-28,26,72,95,104,63
3035,east,west,east,2000-11-29,53,61,98,93,89
3036,west,east,west,2000-11-30,36,53,97,96,72
3037,north,south,north,2000-12-01,34,36,64,59,61
3038,south,north,south,2000-12-02,42,49,65,67,61
3039,east,west,east,2000-12-03,24,42,66,58,47
3040,west,east,west,2000-12-04,26,44,51,59,45
3041,north,south,north,2000-12-05,31,56,60,70,38
3042,south,north,south,2000-12-06,40,36,68,65,42
3043,east,west,east,2000-12-07,43,39,73,60,64
3044,west,east,west,2000-12-08,24,51,62,63,46
3045,north,south,north,2000-12-09,28,46,54,55,45
3046,south,north,south,2000-12-10,20,53,71,60,59
3047,east,west,east,2000-12-11,27,48,64,75,65
3048,west,east,west,2000-12-12,35,49,65,76,59
3049,north,south,north,2000-12-13,21,46,74,61,69
3050,south,north,south,2000-12-14,29,56,70,73,49
3051,east,west,east,2000-12-15,26,53,54,74,55
3052,west,east,west,2000-12-16,35,47,58,64,41
3053,north,south,north,2000-12-17,30,36,69,63,57
3054,south,north,south,2000-12-18,21,55,64,67,43
3055,east,west,east,2000-12-19,26,58,53,63,61
3056,west,east,west,2000-12-20,18,43,58,71,47
3057,north,south,north,2000-12-21,39,34,72,69,63
3058,south,north,south,2000-12-22,18,38,65,54,60
3059,east,west,east,2000-12-23,39,49,62,75,60
3060,west,east,west,2000-12-24,24,50,65,78,54
3061,north,south,north,2000-12-25,40,40,59,71,51
3062,south,north,south,2000-12-26,35,51,59,53,55
3063,east,west,east,2000-12-27,35,37,66,64,45
3064,west,east,west,2000-12-28,38,49,66,57,44
3065,north,south,north,2000-12-29,35,33,71,53,52
3066,south,north,south,2000-12-30,44,52,60,57,68
3067,east,west,east,2000-12-31,35,51,61,77,38
3068,west,east,west,2001-01-01,32,41,67,90,60
3069,north,south,north,2001-01-02,22,54,85,79,51
3070,south,north,south,2001-01-03,33,61,78,72,72
3071,east,west,east,2001-01-04,43,58,63,75,51
3072,west,east,west,2001-01-05,34,64,60,78,78
3073,north,south,north,2001-01-06,27,45,82,91,56
3074,south,north,south,2001-01-07,22,58,73,78,52
3075,east,west,east,2001-01-08,50,40,82,72,76
3076,west,east,west,2001-01-09,21,54,60,81,77
3077,north,south,north,2001-01-10,31,43,70,72,65
3078,south,north,south,2001-01-11,43,61,66,80,79
3079,east,west,east,2001-01-12,42,43,76,78,62
3080,west,east,west,2001-01-13,25,57,67,87,62
3081,north,south,north,2001-01-14,24,64,76,87,66
3082,south,north,south,2001-01-15,44,49,57,74,52
3083,east,west,east,2001-01-16,46,61,83,72,48
3084,west,east,west,2001-01-17,39,49,79,82,58
3085,north,south,north,2001-01-18,48,61,62,75,55
3086,south,north,south,2001-01-19,22,63,78,81,58
3087,east,west,east,2001-01-20,23,53,75,81,59
3088,west,east,west,2001-01-21,31,61,61,75,56
3089,north,south,north,2001-01-22,35,52,76,72,71
3090,south,north,south,2001-01-23,43,43,75,66,61
3091,east,west,east,2001-01-24,49,64,69,85,65
3092,west,east,west,2001-01-25,29,49,63,82,68
3093,north,south,north,2001-01-26,46,66,69,69,58
3094,south,north,south,2001-01-27,21,62,58,85,55
3095,east,west,east,2001-01-28,49,48,67,74,70
3096,west,east,west,2001-01-29,51,48,76,74,57
3097,north,south,north,2001-01-30,21,52,79,72,73
3098,south,north,south,2001-01-31,31,48,85,76,63
3099,east,west,east,2001-02-01,44,67,78,90,75
3100,west,east,west,2001-02-02,38,53,89,99,87
3101,north,south,north,2001-02-03,46,50,75,115,60
3102,south,north,south,2001-02-04,55,72,81,105,69
3103,east,west,east,2001-02-05,32,53,105,105,65
3104,west,east,west,2001-02-06,25,81,75,102,77
3105,north,south,north,2001-02-07,51,72,98,84,83
3106,south,north,south,2001-02-08,43,51,93,91,92
3107,east,west,east,2001-02-09,39,70,95,104,73
3108,west,east,west,2001-02-10,38,66,80,98,91
3109,north,south,north,2001-02-11,34,74,97,106,82
3110,south,north,south,2001-02-12,43,70,93,87,85
3111,east,west,east,2001-02-13,56,63,86,90,68
3112,west,east,west,2001-02-14,36,79,88,105,92
3113,north,south,north,2001-02-15,31,71,94,93,67
3114,south,north,south,2001-02-16,40,58,101,91,75
3115,east,west,east,2001-02-17,27,58,106,100,85
3116,west,east,west,2001-02-18,52,58,95,105,97
3117,north,south,north,2001-02-19,53,56,93,102,58
3118,south,north,south,2001-02-20,36,64,88,106,93
3119,east,west,east,2001-02-21,46,67,86,91,58
3120,west,east,west,2001-02-22,38,68,100,88,77
3121,north,south,north,2001-02-23,55,59,76,82,80
3122,south,north,south,2001-02-24,44,57,97,93,98
3123,east,west,east,2001-02-25,25,50,85,106,75
3124,west,east,west,2001-02-26,37,68,104,90,76
3125,north,south,north,2001-02-27,51,58,75,94,72
3126,south,north,south,2001-02-28,34,60,82,103,76
3127,east,west,east,2001-03-01,48,71,108,100,99
3128,west,east,west,2001-03-02,51,80,120,130,92
3129,north,south,north,2001-03-03,65,88,110,101,101
3130,south,north,south,2001-03-04,38,95,109,100,81
3131,east,west,east,2001-03-05,52,79,109,131,90
3132,west,east,west,2001-03-06,56,83,110,119,108
3133,north,south,north,2001-03-07,46,84,104,125,89
3134,south,north,south,2001-03-08,53,81,118,119,95
3135,east,west,east,2001-03-09,62,83,106,120,79
3136,west,east,west,2001-03-10,61,80,114,103,84
3137,north,south,north,2001-03-11,39,86,98,102,108
3138,south,north,south,2001-03-12,31,83,94,134,94
3139,east,west,east,2001-03-13,53,92,114,120,105
3140,west,east,west,2001-03-14,40,82,89,113,92
3141,north,south,north,2001-03-15,60,96,107,104,103
3142,south,north,south,2001-03-16,33,89,104,114,100
3143,east,west,east,2001-03-17,29,83,102,127,79
3144,west,east,west,2001-03-18,39,94,106,129,98
3145,north,south,north,2001-03-19,45,63,102,114,93
3146,south,north,south,2001-03-20,61,79,109,119,91
3147,east,west,east,2001-03-21,64,75,92,108,96
3148,west,east,west,2001-03-22,54,59,107,102,88
3149,north,south,north,2001-03-23,52,77,97,115,112
3150,south,north,south,2001-03-24,46,84,112,115,107
3151,east,west,east,2001-03-25,46,93,90,137,99
3152,west,east,west,2001-03-26,42,80,126,110,98
3153,north,south,north,2001-03-27,52,83,104,101,82
3154,south,north,south,2001-03-28,55,65,96,118,74
3155,east,west,east,2001-03-29,58,88,107,112,98
3156,west,east,west,2001-03-30,48,79,105,113,89
3157,north,south,north,2001-03-31,53,72,89,123,103
3158,south,north,south,2001-04-01,30,59,116,128,97
3159,east,west,east,2001-04-02,58,77,124,106,99
3160,west,east,west,2001-04-03,45,67,126,109,79
3161,north,south,north,2001-04-04,50,79,95,117,71
3162,south,north,south,2001-04-05,47,91,122,135,78
3163,east,west,east,2001-04-06,37,72,105,120,92
3164,west,east,west,2001-04-07,42,85,107,137,80
3165,north,south,north,2001-04-08,49,66,107,120,113
3166,south,north,south,2001-04-09,36,84,107,122,102
3167,east,west,east,2001-04-10,47,77,91,113,79
3168,west,east,west,2001-04-11,66,84,101,135,87
3169,north,south,north,2001-04-12,49,71,126,127,82
3170,south,north,south,2001-04-13,44,85,96,125,82
3171,east,west,east,2001-04-14,47,89,124,126,93
3172,west,east,west,2001-04-15,52,70,120,101,99
3173,north,south,north,2001-04-16,42,75,98,99,93
3174,south,north,south,2001-04-17,48,69,104,120,104
3175,east,west,east,2001-04-18,52,78,95,117,101
3176,west,east,west,2001-04-19,44,60,94,114,105
3177,north,south,north,2001-04-20,33,73,119,122,95
3178,south,north,south,2001-04-21,31,63,115,119,93
3179,east,west,east,2001-04-22,47,90,110,117,86
3180,west,east,west,2001-04-23,38,74,105,117,90
3181,north,south,north,2001-04-24,38,65,97,123,89
3182,south,north,south,2001-04-25,67,68,119,117,95
3183,east,west,east,2001-04-26,53,74,108,128,89
3184,west,east,west,2001-04-27,65,93,112,102,82
3185,north,south,north,2001-04-28,57,88,119,124,88
3186,south,north,south,2001-04-29,51,96,99,133,88
3187,east,west,east,2001-04-30,59,85,100,109,85
3188,west,east,west,2001-05-01,43,68,74,111,61
3189,north,south,north,2001-05-02,42,66,86,85,69
3190,south,north,south,2001-05-03,57,83,83,92,72
3191,east,west,east,2001-05-04,45,68,104,100,69
3192,west,east,west,2001-05-05,38,57,105,94,74
3193,north,south,north,2001-05-06,31,71,88,95,79
3194,south,north,south,2001-05-07,48,64,84,94,83
